energy,delta,beta,atlen
238,5.61851919318e-08,4.82656751217e-10,0.0858897053605
239,5.57153526864e-08,4.76126445098e-10,0.0867034244044
240,5.52513756591e-08,4.69711209036e-10,0.0875214067215
241,5.47931638409e-08,4.63408548527e-10,0.0883436567449
242,5.4340622222e-08,4.57216033184e-10,0.0891701788937
243,5.38936577423e-08,4.51131294826e-10,0.0900009775735
244,5.34521792437e-08,4.45152025644e-10,0.090836057176
245,5.30160974239e-08,4.39275976422e-10,0.0916754220796
246,5.25853247908e-08,4.33500954815e-10,0.0925190766491
247,5.21597756188e-08,4.27824823693e-10,0.093367025236
248,5.17393659063e-08,4.22245499528e-10,0.0942192721783
249,5.13240133341e-08,4.16760950848e-10,0.0950758218012
